bu_name,year,total_revenue,total_cost,marge_brute,marge_pct
AeroMRO,2021,136323562.91,92502325.72,43821237.19,32.1
AeroMRO,2022,145188692.47,98646556.84,46542135.63,32.1
AeroMRO,2023,161835639.75,109981388.65,51854251.1,32.1
AeroMRO,2024,165399806.46,112632063.0,52767743.46,31.9
FinServ Risk,2021,331713092.4,138900074.93,192813017.47,58.1
FinServ Risk,2022,327529124.5,138216879.8,189312244.7,57.9
FinServ Risk,2023,342439858.61,144391476.44,198048382.17,57.9
FinServ Risk,2024,369417457.9,155497744.59,213919713.31,58.0
MedOps,2021,63540721.05,47739458.66,15801262.39,24.9
MedOps,2022,68907255.91,51768775.7,17138480.21,24.8
MedOps,2023,80600551.19,60422674.8,20177876.39,25.0
MedOps,2024,81954596.16,61526636.86,20427959.3,24.9
