date_id,date,year,quarter,quarter_label,month,month_label,week,day,day_of_week,day_label,is_weekend,is_month_start,is_month_end,fiscal_year,fiscal_period
20210101,2021-01-01,2021,1,Q1,1,Janvier,53,1,4,Vendredi,False,True,False,2021,4
20210102,2021-01-02,2021,1,Q1,1,Janvier,53,2,5,Samedi,True,False,False,2021,4
20210103,2021-01-03,2021,1,Q1,1,Janvier,53,3,6,Dimanche,True,False,False,2021,4
20210104,2021-01-04,2021,1,Q1,1,Janvier,1,4,0,Lundi,False,False,False,2021,4
20210105,2021-01-05,2021,1,Q1,1,Janvier,1,5,1,Mardi,False,False,False,2021,4
20210106,2021-01-06,2021,1,Q1,1,Janvier,1,6,2,Mercredi,False,False,False,2021,4
20210107,2021-01-07,2021,1,Q1,1,Janvier,1,7,3,Jeudi,False,False,False,2021,4
20210108,2021-01-08,2021,1,Q1,1,Janvier,1,8,4,Vendredi,False,False,False,2021,4
20210109,2021-01-09,2021,1,Q1,1,Janvier,1,9,5,Samedi,True,False,False,2021,4
20210110,2021-01-10,2021,1,Q1,1,Janvier,1,10,6,Dimanche,True,False,False,2021,4
20210111,2021-01-11,2021,1,Q1,1,Janvier,2,11,0,Lundi,False,False,False,2021,4
20210112,2021-01-12,2021,1,Q1,1,Janvier,2,12,1,Mardi,False,False,False,2021,4
20210113,2021-01-13,2021,1,Q1,1,Janvier,2,13,2,Mercredi,False,False,False,2021,4
20210114,2021-01-14,2021,1,Q1,1,Janvier,2,14,3,Jeudi,False,False,False,2021,4
20210115,2021-01-15,2021,1,Q1,1,Janvier,2,15,4,Vendredi,False,False,False,2021,4
20210116,2021-01-16,2021,1,Q1,1,Janvier,2,16,5,Samedi,True,False,False,2021,4
20210117,2021-01-17,2021,1,Q1,1,Janvier,2,17,6,Dimanche,True,False,False,2021,4
20210118,2021-01-18,2021,1,Q1,1,Janvier,3,18,0,Lundi,False,False,False,2021,4
20210119,2021-01-19,2021,1,Q1,1,Janvier,3,19,1,Mardi,False,False,False,2021,4
20210120,2021-01-20,2021,1,Q1,1,Janvier,3,20,2,Mercredi,False,False,False,2021,4
20210121,2021-01-21,2021,1,Q1,1,Janvier,3,21,3,Jeudi,False,False,False,2021,4
20210122,2021-01-22,2021,1,Q1,1,Janvier,3,22,4,Vendredi,False,False,False,2021,4
20210123,2021-01-23,2021,1,Q1,1,Janvier,3,23,5,Samedi,True,False,False,2021,4
20210124,2021-01-24,2021,1,Q1,1,Janvier,3,24,6,Dimanche,True,False,False,2021,4
20210125,2021-01-25,2021,1,Q1,1,Janvier,4,25,0,Lundi,False,False,False,2021,4
20210126,2021-01-26,2021,1,Q1,1,Janvier,4,26,1,Mardi,False,False,False,2021,4
20210127,2021-01-27,2021,1,Q1,1,Janvier,4,27,2,Mercredi,False,False,False,2021,4
20210128,2021-01-28,2021,1,Q1,1,Janvier,4,28,3,Jeudi,False,False,False,2021,4
20210129,2021-01-29,2021,1,Q1,1,Janvier,4,29,4,Vendredi,False,False,False,2021,4
20210130,2021-01-30,2021,1,Q1,1,Janvier,4,30,5,Samedi,True,False,False,2021,4
20210131,2021-01-31,2021,1,Q1,1,Janvier,4,31,6,Dimanche,True,False,True,2021,4
20210201,2021-02-01,2021,1,Q1,2,Février,5,1,0,Lundi,False,True,False,2021,5
20210202,2021-02-02,2021,1,Q1,2,Février,5,2,1,Mardi,False,False,False,2021,5
20210203,2021-02-03,2021,1,Q1,2,Février,5,3,2,Mercredi,False,False,False,2021,5
20210204,2021-02-04,2021,1,Q1,2,Février,5,4,3,Jeudi,False,False,False,2021,5
20210205,2021-02-05,2021,1,Q1,2,Février,5,5,4,Vendredi,False,False,False,2021,5
20210206,2021-02-06,2021,1,Q1,2,Février,5,6,5,Samedi,True,False,False,2021,5
20210207,2021-02-07,2021,1,Q1,2,Février,5,7,6,Dimanche,True,False,False,2021,5
20210208,2021-02-08,2021,1,Q1,2,Février,6,8,0,Lundi,False,False,False,2021,5
20210209,2021-02-09,2021,1,Q1,2,Février,6,9,1,Mardi,False,False,False,2021,5
20210210,2021-02-10,2021,1,Q1,2,Février,6,10,2,Mercredi,False,False,False,2021,5
20210211,2021-02-11,2021,1,Q1,2,Février,6,11,3,Jeudi,False,False,False,2021,5
20210212,2021-02-12,2021,1,Q1,2,Février,6,12,4,Vendredi,False,False,False,2021,5
20210213,2021-02-13,2021,1,Q1,2,Février,6,13,5,Samedi,True,False,False,2021,5
20210214,2021-02-14,2021,1,Q1,2,Février,6,14,6,Dimanche,True,False,False,2021,5
20210215,2021-02-15,2021,1,Q1,2,Février,7,15,0,Lundi,False,False,False,2021,5
20210216,2021-02-16,2021,1,Q1,2,Février,7,16,1,Mardi,False,False,False,2021,5
20210217,2021-02-17,2021,1,Q1,2,Février,7,17,2,Mercredi,False,False,False,2021,5
20210218,2021-02-18,2021,1,Q1,2,Février,7,18,3,Jeudi,False,False,False,2021,5
20210219,2021-02-19,2021,1,Q1,2,Février,7,19,4,Vendredi,False,False,False,2021,5
20210220,2021-02-20,2021,1,Q1,2,Février,7,20,5,Samedi,True,False,False,2021,5
20210221,2021-02-21,2021,1,Q1,2,Février,7,21,6,Dimanche,True,False,False,2021,5
20210222,2021-02-22,2021,1,Q1,2,Février,8,22,0,Lundi,False,False,False,2021,5
20210223,2021-02-23,2021,1,Q1,2,Février,8,23,1,Mardi,False,False,False,2021,5
20210224,2021-02-24,2021,1,Q1,2,Février,8,24,2,Mercredi,False,False,False,2021,5
20210225,2021-02-25,2021,1,Q1,2,Février,8,25,3,Jeudi,False,False,False,2021,5
20210226,2021-02-26,2021,1,Q1,2,Février,8,26,4,Vendredi,False,False,False,2021,5
20210227,2021-02-27,2021,1,Q1,2,Février,8,27,5,Samedi,True,False,False,2021,5
20210228,2021-02-28,2021,1,Q1,2,Février,8,28,6,Dimanche,True,False,True,2021,5
20210301,2021-03-01,2021,1,Q1,3,Mars,9,1,0,Lundi,False,True,False,2021,6
20210302,2021-03-02,2021,1,Q1,3,Mars,9,2,1,Mardi,False,False,False,2021,6
20210303,2021-03-03,2021,1,Q1,3,Mars,9,3,2,Mercredi,False,False,False,2021,6
20210304,2021-03-04,2021,1,Q1,3,Mars,9,4,3,Jeudi,False,False,False,2021,6
20210305,2021-03-05,2021,1,Q1,3,Mars,9,5,4,Vendredi,False,False,False,2021,6
20210306,2021-03-06,2021,1,Q1,3,Mars,9,6,5,Samedi,True,False,False,2021,6
20210307,2021-03-07,2021,1,Q1,3,Mars,9,7,6,Dimanche,True,False,False,2021,6
20210308,2021-03-08,2021,1,Q1,3,Mars,10,8,0,Lundi,False,False,False,2021,6
20210309,2021-03-09,2021,1,Q1,3,Mars,10,9,1,Mardi,False,False,False,2021,6
20210310,2021-03-10,2021,1,Q1,3,Mars,10,10,2,Mercredi,False,False,False,2021,6
20210311,2021-03-11,2021,1,Q1,3,Mars,10,11,3,Jeudi,False,False,False,2021,6
20210312,2021-03-12,2021,1,Q1,3,Mars,10,12,4,Vendredi,False,False,False,2021,6
20210313,2021-03-13,2021,1,Q1,3,Mars,10,13,5,Samedi,True,False,False,2021,6
20210314,2021-03-14,2021,1,Q1,3,Mars,10,14,6,Dimanche,True,False,False,2021,6
20210315,2021-03-15,2021,1,Q1,3,Mars,11,15,0,Lundi,False,False,False,2021,6
20210316,2021-03-16,2021,1,Q1,3,Mars,11,16,1,Mardi,False,False,False,2021,6
20210317,2021-03-17,2021,1,Q1,3,Mars,11,17,2,Mercredi,False,False,False,2021,6
20210318,2021-03-18,2021,1,Q1,3,Mars,11,18,3,Jeudi,False,False,False,2021,6
20210319,2021-03-19,2021,1,Q1,3,Mars,11,19,4,Vendredi,False,False,False,2021,6
20210320,2021-03-20,2021,1,Q1,3,Mars,11,20,5,Samedi,True,False,False,2021,6
20210321,2021-03-21,2021,1,Q1,3,Mars,11,21,6,Dimanche,True,False,False,2021,6
20210322,2021-03-22,2021,1,Q1,3,Mars,12,22,0,Lundi,False,False,False,2021,6
20210323,2021-03-23,2021,1,Q1,3,Mars,12,23,1,Mardi,False,False,False,2021,6
20210324,2021-03-24,2021,1,Q1,3,Mars,12,24,2,Mercredi,False,False,False,2021,6
20210325,2021-03-25,2021,1,Q1,3,Mars,12,25,3,Jeudi,False,False,False,2021,6
20210326,2021-03-26,2021,1,Q1,3,Mars,12,26,4,Vendredi,False,False,False,2021,6
20210327,2021-03-27,2021,1,Q1,3,Mars,12,27,5,Samedi,True,False,False,2021,6
20210328,2021-03-28,2021,1,Q1,3,Mars,12,28,6,Dimanche,True,False,False,2021,6
20210329,2021-03-29,2021,1,Q1,3,Mars,13,29,0,Lundi,False,False,False,2021,6
20210330,2021-03-30,2021,1,Q1,3,Mars,13,30,1,Mardi,False,False,False,2021,6
20210331,2021-03-31,2021,1,Q1,3,Mars,13,31,2,Mercredi,False,False,True,2021,6
20210401,2021-04-01,2021,2,Q2,4,Avril,13,1,3,Jeudi,False,True,False,2021,7
20210402,2021-04-02,2021,2,Q2,4,Avril,13,2,4,Vendredi,False,False,False,2021,7
20210403,2021-04-03,2021,2,Q2,4,Avril,13,3,5,Samedi,True,False,False,2021,7
20210404,2021-04-04,2021,2,Q2,4,Avril,13,4,6,Dimanche,True,False,False,2021,7
20210405,2021-04-05,2021,2,Q2,4,Avril,14,5,0,Lundi,False,False,False,2021,7
20210406,2021-04-06,2021,2,Q2,4,Avril,14,6,1,Mardi,False,False,False,2021,7
