operation_id,date_id,entity_id,bu_id,bu_name,kpi_id,geo_id,revenue,cost,quantity,duration_days,status,perf_score
OP0000001,20210101,ENT006,BU001,AeroMRO,KPI001,GEO002,120834.26,87731.24,2,2,Terminé,47.2
OP0000002,20210101,ENT002,BU001,AeroMRO,KPI002,GEO002,79981.65,52152.53,3,4,Terminé,36.4
OP0000003,20210101,ENT006,BU001,AeroMRO,KPI006,GEO002,54751.64,35383.95,1,10,Terminé,55.0
OP0000004,20210101,ENT004,BU001,AeroMRO,KPI001,GEO004,71089.52,42316.87,5,2,Terminé,56.8
OP0000005,20210101,ENT002,BU001,AeroMRO,KPI005,GEO002,90600.56,53863.4,1,11,Terminé,59.5
OP0000006,20210101,ENT009,BU002,FinServ Risk,KPI012,GEO006,204979.69,101627.94,1,21,Terminé,65.4
OP0000007,20210101,ENT011,BU002,FinServ Risk,KPI008,GEO008,171275.82,69719.46,1,15,Terminé,81.1
OP0000008,20210101,ENT014,BU003,MedOps,KPI014,GEO011,57279.57,46495.16,6,14,Terminé,19.9
OP0000009,20210101,ENT015,BU003,MedOps,KPI014,GEO012,65605.51,46732.78,5,11,Terminé,37.5
OP0000010,20210101,ENT017,BU003,MedOps,KPI013,GEO013,37041.72,28129.85,14,12,En cours,46.0
OP0000011,20210101,ENT018,BU003,MedOps,KPI015,GEO014,67414.98,54124.11,10,2,Terminé,28.7
OP0000012,20210101,ENT018,BU003,MedOps,KPI013,GEO014,31377.7,25948.58,11,13,Terminé,27.5
OP0000013,20210102,ENT003,BU001,AeroMRO,KPI006,GEO003,108709.27,79111.62,5,11,En cours,45.4
OP0000014,20210102,ENT003,BU001,AeroMRO,KPI005,GEO003,156695.93,97899.94,2,5,Terminé,54.5
OP0000015,20210102,ENT001,BU001,AeroMRO,KPI006,GEO001,60874.99,45202.69,4,5,Terminé,41.0
OP0000016,20210102,ENT001,BU001,AeroMRO,KPI002,GEO001,78561.67,46374.7,1,15,Terminé,65.1
OP0000017,20210102,ENT003,BU001,AeroMRO,KPI004,GEO003,85006.77,55627.4,4,12,En cours,60.7
OP0000018,20210102,ENT009,BU002,FinServ Risk,KPI009,GEO006,232469.59,90796.56,2,12,Terminé,80.8
OP0000019,20210102,ENT010,BU002,FinServ Risk,KPI012,GEO007,40585.92,18167.94,1,30,Terminé,74.0
OP0000020,20210102,ENT008,BU002,FinServ Risk,KPI011,GEO006,289234.91,117636.21,1,21,Terminé,65.0
OP0000021,20210102,ENT013,BU002,FinServ Risk,KPI008,GEO010,177555.46,94515.73,1,6,Terminé,52.7
