year,quarter_label,bu_name,revenue,marge_pct
2021,Q1,AeroMRO,31196575.55,32.4
2021,Q1,FinServ Risk,93716108.45,58.7
2021,Q1,MedOps,18328114.68,25.0
2021,Q2,AeroMRO,31589626.11,32.6
2021,Q2,FinServ Risk,73395526.77,58.1
2021,Q2,MedOps,15037640.56,25.0
2021,Q3,AeroMRO,40975032.43,32.0
2021,Q3,FinServ Risk,71817466.11,57.7
2021,Q3,MedOps,13618015.1,24.6
2021,Q4,AeroMRO,32562328.82,31.4
2021,Q4,FinServ Risk,92783991.07,58.0
2021,Q4,MedOps,16556950.71,24.9
2022,Q1,AeroMRO,31092171.63,32.5
2022,Q1,FinServ Risk,93875119.38,58.0
2022,Q1,MedOps,18715048.23,24.8
2022,Q2,AeroMRO,38285053.6,31.9
2022,Q2,FinServ Risk,75142079.47,57.6
2022,Q2,MedOps,16262709.98,24.6
2022,Q3,AeroMRO,41964890.65,32.1
2022,Q3,FinServ Risk,66928187.97,57.9
2022,Q3,MedOps,14502437.78,24.7
2022,Q4,AeroMRO,33846576.59,31.8
2022,Q4,FinServ Risk,91583737.68,58.1
2022,Q4,MedOps,19427059.92,25.3
2023,Q1,AeroMRO,36420162.25,32.3
2023,Q1,FinServ Risk,97713249.3,58.0
2023,Q1,MedOps,22443497.49,25.2
2023,Q2,AeroMRO,42122965.92,31.8
2023,Q2,FinServ Risk,76769484.61,58.1
2023,Q2,MedOps,18197167.86,25.5
2023,Q3,AeroMRO,47083455.68,32.4
2023,Q3,FinServ Risk,76317233.62,57.5
2023,Q3,MedOps,16585884.62,24.9
2023,Q4,AeroMRO,36209055.9,31.9
2023,Q4,FinServ Risk,91639891.08,57.9
2023,Q4,MedOps,23374001.22,24.6
2024,Q1,AeroMRO,34874988.54,31.7
2024,Q1,FinServ Risk,106973322.66,58.5
2024,Q1,MedOps,25573320.86,24.8
2024,Q2,AeroMRO,40813906.68,32.4
2024,Q2,FinServ Risk,86535180.19,57.3
2024,Q2,MedOps,16566854.15,24.8
2024,Q3,AeroMRO,49133834.33,31.7
2024,Q3,FinServ Risk,78191056.06,58.3
2024,Q3,MedOps,15887171.6,25.2
2024,Q4,AeroMRO,40577076.91,31.7
2024,Q4,FinServ Risk,97717898.99,57.9
2024,Q4,MedOps,23927249.55,24.7
